ID,RA,DEC,RA_err,Dec_err
1,52.899178,-27.859588,0.53,0.53
2,52.911023,-27.892965,1.08,1.08
3,52.917119,-27.796253,0.66,0.66
4,52.919726,-27.773984,1.01,1.01
5,52.92071,-27.74311,0.97,0.97
6,52.930145,-27.901341,1.0,1.0
7,52.930889,-27.850931,0.73,0.73
8,52.934481,-27.823753,0.58,0.58
9,52.936212,-27.8656,0.6,0.6
10,52.937251,-27.860624,0.67,0.67
11,52.937355,-27.761025,0.61,0.61
12,52.938022,-27.830329,0.72,0.72
13,52.938318,-27.909828,0.54,0.54
14,52.939571,-27.85821,0.76,0.76
15,52.942631,-27.819647,0.8,0.8
16,52.944249,-27.764469,0.48,0.48
17,52.946288,-27.847381,0.67,0.67
18,52.946938,-27.920189,0.75,0.75
19,52.946991,-27.887011,0.32,0.32
20,52.948756,-27.808147,0.37,0.37
21,52.94987,-27.845926,0.37,0.37
22,52.950123,-27.800417,0.44,0.44
23,52.950392,-27.875637,0.75,0.75
24,52.952351,-27.787243,0.41,0.41
25,52.954364,-27.872605,0.6,0.6
26,52.955757,-27.776111,0.33,0.33
27,52.95613,-27.842692,0.46,0.46
28,52.956351,-27.721986,0.42,0.42
29,52.957843,-27.82794,0.54,0.54
30,52.957851,-27.810253,0.65,0.65
31,52.959955,-27.864329,0.31,0.31
32,52.95998,-27.869995,0.56,0.56
33,52.960131,-27.845076,0.54,0.54
34,52.960285,-27.876851,0.59,0.59
35,52.960788,-27.883576,0.61,0.61
36,52.961563,-27.784276,0.54,0.54
37,52.962412,-27.687808,0.68,0.68
38,52.962871,-27.743553,0.52,0.52
39,52.963217,-27.847562,0.4,0.4
40,52.963491,-27.823541,0.69,0.69
41,52.964237,-27.764743,0.46,0.46
42,52.96633,-27.890785,0.48,0.48
43,52.966496,-27.87059,0.76,0.76
44,52.967355,-27.804338,0.46,0.46
45,52.967626,-27.696263,0.67,0.67
46,52.967895,-27.915837,0.75,0.75
47,52.96792,-27.797937,0.37,0.37
48,52.968156,-27.660507,0.95,0.95
49,52.968635,-27.838151,0.24,0.24
50,52.96884,-27.778324,0.29,0.29
51,52.972981,-27.81195,0.34,0.34
52,52.974346,-27.706971,0.87,0.87
53,52.974436,-27.787616,0.62,0.62
54,52.974832,-27.799217,0.54,0.54
55,52.975494,-27.834932,0.73,0.73
56,52.976458,-27.699534,0.76,0.76
57,52.976481,-27.946761,0.9,0.9
58,52.977044,-27.851425,0.39,0.39
59,52.977064,-27.761078,0.69,0.69
60,52.978834,-27.735934,0.64,0.64
61,52.979687,-27.841106,0.42,0.42
62,52.980485,-27.776442,0.67,0.67
63,52.980677,-27.913371,0.39,0.39
64,52.981659,-27.845488,0.42,0.42
65,52.981772,-27.90021,0.71,0.71
66,52.982191,-27.719719,0.76,0.76
67,52.982517,-27.822496,0.38,0.38
68,52.983105,-27.75681,0.69,0.69
69,52.984622,-27.783408,0.5,0.5
70,52.984836,-27.858715,0.33,0.33
71,52.984961,-27.735114,0.45,0.45
72,52.986873,-27.850233,0.4,0.4
73,52.987747,-27.852295,0.28,0.28
74,52.989399,-27.704551,0.63,0.63
75,52.989418,-27.714606,0.75,0.75
76,52.990417,-27.711208,0.69,0.69
77,52.990482,-27.702572,0.41,0.41
78,52.991502,-27.792961,0.5,0.5
79,52.992092,-27.809391,0.19,0.19
80,52.992171,-27.749747,0.41,0.41
81,52.992819,-27.844873,0.2,0.2
82,52.993095,-27.909871,0.6,0.6
83,52.994864,-27.749952,0.49,0.49
84,52.996132,-27.855942,0.42,0.42
85,52.997095,-27.760402,0.64,0.64
86,52.997546,-27.781034,0.42,0.42
87,52.998172,-27.838793,0.33,0.33
88,52.99878,-27.829855,0.33,0.33
89,53.001562,-27.722141,0.23,0.23
90,53.001597,-27.874545,0.51,0.51
91,53.002212,-27.898058,0.3,0.3
92,53.002584,-27.704355,0.56,0.56
93,53.002932,-27.856037,0.64,0.64
94,53.003407,-27.892895,0.43,0.43
95,53.003652,-27.799025,0.59,0.59
96,53.00424,-27.757302,0.51,0.51
97,53.005355,-27.847292,0.39,0.39
98,53.005921,-27.77971,0.18,0.18
99,53.006036,-27.918602,0.69,0.69
100,53.006054,-27.694009,0.26,0.26
101,53.006491,-27.734132,0.45,0.45
102,53.006636,-27.724186,0.22,0.22
103,53.008595,-27.813585,0.52,0.52
104,53.009316,-27.668424,1.12,1.12
105,53.009612,-27.87604,0.34,0.34
106,53.010255,-27.766731,0.18,0.18
107,53.010417,-27.757117,0.47,0.47
108,53.010661,-27.847763,0.47,0.47
109,53.01068,-27.741577,0.35,0.35
110,53.011337,-27.828843,0.69,0.69
111,53.011501,-27.719424,0.67,0.67
112,53.011528,-27.858033,0.58,0.58
113,53.011911,-27.850539,0.41,0.41
114,53.012737,-27.747237,0.25,0.25
115,53.013263,-27.76222,0.63,0.63
116,53.013381,-27.804771,0.54,0.54
117,53.014389,-27.862856,0.62,0.62
118,53.014711,-27.898343,0.5,0.5
119,53.01528,-27.767692,0.17,0.17
120,53.016146,-27.891343,0.23,0.23
121,53.016551,-27.744855,0.44,0.44
122,53.016806,-27.623866,0.6,0.6
123,53.016917,-27.719084,0.54,0.54
124,53.017025,-27.900041,0.54,0.54
125,53.017776,-27.946705,0.76,0.76
126,53.01794,-27.673854,0.73,0.73
127,53.018745,-27.77863,0.24,0.24
128,53.01897,-27.835008,0.46,0.46
129,53.019771,-27.770774,0.49,0.49
130,53.019804,-27.66289,0.76,0.76
131,53.020116,-27.690915,0.38,0.38
132,53.020396,-27.779936,0.5,0.5
133,53.020614,-27.742022,0.54,0.54
134,53.021536,-27.898488,0.23,0.23
135,53.022332,-27.778865,0.23,0.23
136,53.022466,-27.799279,0.7,0.7
137,53.022557,-27.792694,0.55,0.55
138,53.02308,-27.757086,0.68,0.68
139,53.024063,-27.746441,0.28,0.28
140,53.024076,-27.805709,0.65,0.65
141,53.02463,-27.913631,0.52,0.52
142,53.024978,-27.752112,0.55,0.55
143,53.025448,-27.631878,1.15,1.15
144,53.025474,-27.779046,0.69,0.69
145,53.025535,-27.82434,0.22,0.22
146,53.026107,-27.690736,0.6,0.6
147,53.026245,-27.673006,0.54,0.54
148,53.026258,-27.760196,0.42,0.42
149,53.026643,-27.791319,0.48,0.48
150,53.026852,-27.765194,0.48,0.48
151,53.027381,-27.841433,0.57,0.57
152,53.027475,-27.843792,0.6,0.6
153,53.027532,-27.647515,0.99,0.99
154,53.027985,-27.748791,0.45,0.45
155,53.028143,-27.820553,0.34,0.34
156,53.028251,-27.822647,0.58,0.58
157,53.028614,-27.763582,0.64,0.64
158,53.029008,-27.936531,0.6,0.6
159,53.02962,-27.874753,0.27,0.27
160,53.029713,-27.858004,0.39,0.39
161,53.030014,-27.967387,1.09,1.09
162,53.030514,-27.855585,0.48,0.48
163,53.030637,-27.814076,0.46,0.46
164,53.030687,-27.873281,0.49,0.49
165,53.030714,-27.828397,0.39,0.39
166,53.031447,-27.824188,0.52,0.52
167,53.03173,-27.870385,0.23,0.23
168,53.033101,-27.625708,0.39,0.39
169,53.033222,-27.710843,0.3,0.3
170,53.033361,-27.782539,0.15,0.15
171,53.034431,-27.698121,0.49,0.49
172,53.034931,-27.679652,0.39,0.39
173,53.034997,-27.823656,0.58,0.58
174,53.035535,-27.780029,0.32,0.32
175,53.036121,-27.792852,0.14,0.14
176,53.036199,-27.752291,0.68,0.68
177,53.036405,-27.849522,0.57,0.57
178,53.036494,-27.665509,0.62,0.62
179,53.036906,-27.7852,0.53,0.53
180,53.037162,-27.740227,0.3,0.3
181,53.037527,-27.974657,0.94,0.94
182,53.038188,-27.706939,0.45,0.45
183,53.038471,-27.61302,1.21,1.21
184,53.038494,-27.862018,0.5,0.5
185,53.039227,-27.799387,0.44,0.44
186,53.039401,-27.801862,0.14,0.14
187,53.039467,-27.923144,0.82,0.82
188,53.039576,-27.709925,0.45,0.45
189,53.039984,-27.798423,0.44,0.44
190,53.040399,-27.713318,0.34,0.34
191,53.040592,-27.886886,0.61,0.61
192,53.040729,-27.758199,0.54,0.54
193,53.040751,-27.745057,0.49,0.49
194,53.040906,-27.836043,0.42,0.42
195,53.040979,-27.837668,0.31,0.31
196,53.042231,-27.799854,0.52,0.52
197,53.042253,-27.904621,0.46,0.46
198,53.042504,-27.865544,0.4,0.4
199,53.04327,-27.89232,0.69,0.69
200,53.043796,-27.71917,0.19,0.19
201,53.044089,-27.784987,0.68,0.68
202,53.044222,-27.786015,0.55,0.55
203,53.044577,-27.801912,0.47,0.47
204,53.044624,-27.813586,0.41,0.41
205,53.044878,-27.774331,0.38,0.38
206,53.044914,-27.709589,0.44,0.44
207,53.045507,-27.728675,0.28,0.28
208,53.045511,-27.737467,0.17,0.17
209,53.045523,-27.789641,0.51,0.51
210,53.045692,-27.815548,0.14,0.14
211,53.045784,-27.681536,0.3,0.3
212,53.04607,-27.749091,0.59,0.59
213,53.047323,-27.708842,0.54,0.54
214,53.047424,-27.870404,0.16,0.16
215,53.047561,-27.780504,0.24,0.24
216,53.047677,-27.865133,0.67,0.67
217,53.047686,-27.834945,0.3,0.3
218,53.047913,-27.80421,0.55,0.55
219,53.047992,-27.786942,0.44,0.44
220,53.048563,-27.624096,0.38,0.38
221,53.049089,-27.774479,0.16,0.16
222,53.050049,-27.833064,0.56,0.56
223,53.050362,-27.752216,0.57,0.57
224,53.050825,-27.758323,0.28,0.28
225,53.050973,-27.772385,0.17,0.17
226,53.051145,-27.790407,0.53,0.53
227,53.051423,-27.869977,0.54,0.54
228,53.051531,-27.80986,0.54,0.54
229,53.051638,-27.820078,0.48,0.48
230,53.05219,-27.774692,0.41,0.41
231,53.052237,-27.798242,0.45,0.45
232,53.052387,-27.827171,0.61,0.61
233,53.052764,-27.696825,0.45,0.45
234,53.053624,-27.869184,0.44,0.44
235,53.053848,-27.810443,0.57,0.57
236,53.053902,-27.876837,0.17,0.17
237,53.054377,-27.823118,0.47,0.47
238,53.05441,-27.730901,0.52,0.52
239,53.054549,-27.79292,0.39,0.39
240,53.054999,-27.924576,0.31,0.31
241,53.055055,-27.964644,0.65,0.65
242,53.055176,-27.711378,0.19,0.19
243,53.055854,-27.815557,0.21,0.21
244,53.056212,-27.831396,0.44,0.44
245,53.05687,-27.798513,0.55,0.55
246,53.057256,-27.656835,0.77,0.77
247,53.057608,-27.757047,0.33,0.33
248,53.057693,-27.933359,0.39,0.39
249,53.057811,-27.71363,0.25,0.25
250,53.05787,-27.833452,0.22,0.22
251,53.058072,-27.732675,0.67,0.67
252,53.058359,-27.850128,0.13,0.13
253,53.058667,-27.708387,0.4,0.4
254,53.058915,-27.819501,0.36,0.36
255,53.059035,-27.776208,0.43,0.43
256,53.059407,-27.788957,0.53,0.53
257,53.059721,-27.822472,0.53,0.53
258,53.060113,-27.852965,0.31,0.31
259,53.060236,-27.749049,0.33,0.33
260,53.060687,-27.906056,0.24,0.24
261,53.060751,-27.882355,0.46,0.46
262,53.061306,-27.985625,0.91,0.91
263,53.061519,-27.772615,0.55,0.55
264,53.061609,-27.734077,0.32,0.32
265,53.061679,-27.944484,0.69,0.69
266,53.061804,-27.793985,0.36,0.36
267,53.061907,-27.850979,0.19,0.19
268,53.061945,-27.706452,0.49,0.49
269,53.062213,-27.764812,0.55,0.55
270,53.062214,-27.645425,0.61,0.61
271,53.062412,-27.706914,0.29,0.29
272,53.062429,-27.857476,0.14,0.14
273,53.062796,-27.726398,0.45,0.45
274,53.063198,-27.699686,0.38,0.38
275,53.063449,-27.791376,0.54,0.54
276,53.063839,-27.843662,0.25,0.25
277,53.063901,-27.824432,0.51,0.51
278,53.064103,-27.845743,0.46,0.46
279,53.064344,-27.7754,0.41,0.41
280,53.065654,-27.878854,0.4,0.4
281,53.065671,-27.664986,0.4,0.4
282,53.065728,-27.890321,0.57,0.57
283,53.065799,-27.774924,0.36,0.36
284,53.06594,-27.701854,0.44,0.44
285,53.066227,-27.800537,0.6,0.6
286,53.066409,-27.720515,0.53,0.53
287,53.066704,-27.816555,0.42,0.42
288,53.066736,-27.782239,0.55,0.55
289,53.067243,-27.945536,0.43,0.43
290,53.067365,-27.828226,0.28,0.28
291,53.067541,-27.658349,0.28,0.28
292,53.06776,-27.923348,0.39,0.39
293,53.06841,-27.866429,0.27,0.27
294,53.068558,-27.746895,0.64,0.64
295,53.068889,-27.790867,0.39,0.39
296,53.069553,-27.801635,0.52,0.52
297,53.069719,-27.777204,0.42,0.42
298,53.069729,-27.724316,0.41,0.41
299,53.070247,-27.845542,0.41,0.41
300,53.070309,-27.83569,0.26,0.26
301,53.070571,-27.834359,0.54,0.54
302,53.070663,-27.85066,0.62,0.62
303,53.070767,-27.900328,0.48,0.48
304,53.071076,-27.822679,0.29,0.29
305,53.071229,-27.69356,0.3,0.3
306,53.071454,-27.717589,0.17,0.17
307,53.071511,-27.769766,0.33,0.33
308,53.071521,-27.872429,0.15,0.15
309,53.071699,-27.814885,0.44,0.44
310,53.072003,-27.81893,0.42,0.42
311,53.072011,-27.86934,0.51,0.51
312,53.072572,-27.822472,0.44,0.44
313,53.072704,-27.834134,0.47,0.47
314,53.072818,-27.75795,0.52,0.52
315,53.07307,-27.770467,0.49,0.49
316,53.073191,-27.828203,0.47,0.47
317,53.073475,-27.803286,0.37,0.37
318,53.074273,-27.777877,0.54,0.54
319,53.074347,-27.835246,0.26,0.26
320,53.074729,-27.849895,0.41,0.41
321,53.074827,-27.789343,0.44,0.44
322,53.075062,-27.831354,0.33,0.33
323,53.075126,-27.788478,0.29,0.29
324,53.075195,-27.742446,0.46,0.46
325,53.075436,-27.616614,0.72,0.72
326,53.075954,-27.878104,0.26,0.26
327,53.075988,-27.78054,0.54,0.54
328,53.076418,-27.848627,0.13,0.13
329,53.076452,-27.864025,0.47,0.47
330,53.076485,-27.873395,0.31,0.31
331,53.076805,-27.817555,0.61,0.61
332,53.076835,-27.765534,0.34,0.34
333,53.076843,-27.799144,0.48,0.48
334,53.076864,-27.760073,0.56,0.56
335,53.077929,-27.822207,0.44,0.44
336,53.077939,-27.736832,0.37,0.37
337,53.078476,-27.859804,0.23,0.23
338,53.078542,-27.758038,0.46,0.46
339,53.078887,-27.824689,0.44,0.44
340,53.079152,-27.79872,0.12,0.12
341,53.079438,-27.741622,0.47,0.47
342,53.079505,-27.870571,0.56,0.56
343,53.079563,-27.948679,0.54,0.54
344,53.079736,-27.80891,0.46,0.46
