#ID,RA,DEC,RA_err,Dec_err
7.000000,53.009634,-27.270768,0.000425,0.000425
10.000000,53.008996,-27.047819,0.000524,0.000524
27.000000,53.196088,-27.176580,0.000888,0.000888
36.000000,52.862168,-28.302076,0.000680,0.000680
59.000000,52.209376,-27.202160,0.000698,0.000698
60.000000,53.080047,-27.493224,0.004861,0.004861
62.000000,52.598027,-28.425021,0.000785,0.000785
69.000000,52.207499,-27.316378,0.000759,0.000759
70.000000,52.438212,-28.203696,0.000625,0.000625
72.000000,53.108600,-27.675897,0.001109,0.001109
73.000000,53.112387,-27.685369,0.001434,0.001434
82.000000,53.010330,-28.350247,0.005406,0.005406
83.000000,52.792887,-27.279128,0.000792,0.000792
87.000000,52.206522,-27.028820,0.000963,0.000963
88.000000,52.634938,-27.078010,0.001026,0.001026
97.000000,52.695653,-27.987537,0.000913,0.000913
101.000000,53.191028,-28.376105,0.000993,0.000993
162.000000,53.049896,-27.624856,0.000889,0.000889
164.000000,52.277707,-27.947781,0.000794,0.000794
171.000000,52.179698,-28.358411,0.001031,0.001031
192.000000,52.524736,-27.472550,0.001010,0.001010
193.000000,52.572587,-27.571069,0.001035,0.001035
194.000000,52.570716,-27.118016,0.000965,0.000965
195.000000,52.627676,-28.358597,0.000969,0.000969
205.000000,53.268607,-28.227724,0.001095,0.001095
214.000000,53.263715,-27.140015,0.001445,0.001445
221.000000,52.737860,-26.994057,0.001482,0.001482
245.000000,52.367649,-28.326152,0.001356,0.001356
248.000000,52.851859,-28.272141,0.001375,0.001375
249.000000,52.811783,-27.921240,0.001145,0.001145
251.000000,53.156520,-28.146269,0.001368,0.001368
252.000000,53.146261,-28.155438,0.001500,0.001500
259.000000,53.036928,-27.792360,0.001129,0.001129
267.000000,53.112547,-27.485233,0.001570,0.001570
292.000000,52.087757,-28.348091,0.001201,0.001201
300.000000,52.361370,-27.518811,0.004097,0.004097
310.000000,53.057467,-27.466281,0.001552,0.001552
318.000000,52.226544,-28.288967,0.003538,0.003538
324.000000,52.306223,-27.051947,0.001202,0.001202
326.000000,52.512742,-27.550040,0.001566,0.001566
328.000000,52.566332,-28.039973,0.001451,0.001451
332.000000,52.879472,-27.479103,0.001217,0.001217
344.000000,52.149592,-27.734148,0.000986,0.000986
351.000000,53.256012,-27.761716,0.001273,0.001273
356.000000,53.249200,-27.796460,0.001207,0.001207
366.000000,53.025855,-27.014358,0.001330,0.001330
379.000000,52.603424,-28.174213,0.001295,0.001295
402.000000,53.277234,-28.151320,0.001508,0.001508
437.000000,52.735708,-27.320485,0.001168,0.001168
439.000000,52.938240,-27.910807,0.001361,0.001361
442.000000,52.345427,-27.672501,0.002335,0.002335
445.000000,52.418883,-27.862586,0.001267,0.001267
455.000000,53.128173,-28.135574,0.001263,0.001263
459.000000,53.026160,-27.543871,0.001641,0.001641
461.000000,52.917947,-27.495414,0.002320,0.002320
466.000000,53.199705,-28.147917,0.001331,0.001331
467.000000,52.837799,-27.152425,0.001432,0.001432
496.000000,53.071376,-27.331116,0.001405,0.001405
501.000000,52.141448,-28.009405,0.001857,0.001857
513.000000,53.070060,-27.403535,0.001193,0.001193
519.000000,53.145288,-27.499314,0.001509,0.001509
527.000000,52.082258,-28.131678,0.003893,0.003893
542.000000,52.198740,-28.385885,0.001861,0.001861
551.000000,52.354588,-27.179743,0.001675,0.001675
564.000000,53.023753,-27.635317,0.002149,0.002149
579.000000,52.892967,-27.180764,0.001415,0.001415
597.000000,52.133308,-28.081771,0.001493,0.001493
598.000000,52.246983,-27.111955,0.001862,0.001862
606.000000,52.343585,-27.575548,0.001772,0.001772
607.000000,52.901078,-28.030059,0.001576,0.001576
608.000000,52.805442,-28.317848,0.001659,0.001659
609.000000,52.611361,-27.178331,0.001499,0.001499
613.000000,52.728182,-27.440325,0.001570,0.001570
617.000000,52.887737,-27.514274,0.001325,0.001325
618.000000,52.365234,-27.796572,0.001480,0.001480
620.000000,52.713499,-27.214537,0.001390,0.001390
621.000000,52.432613,-28.043403,0.001455,0.001455
