#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
7            53.009634   -27.270768  0.0000      702369      53.007917   -27.270670  26.8701     6.193       1.116e-04   0.000e+00   1.000e+00   1.011e-07   5.896e-03   1.913e-09   0.000       0           
7            53.009634   -27.270768  0.0000      702389      53.008852   -27.270503  26.2125     2.973       1.240e-02   0.000e+00   1.000e+00   8.283e-07   6.663e-03   1.541e-06   0.000       0           
7            53.009634   -27.270768  0.0000      702459      53.010236   -27.271822  18.2511     4.371       2.408e-03   0.000e+00   1.000e+00   1.688e-01   7.721e-05   5.266e+00   0.910       1           
7            53.009634   -27.270768  0.0000      702460      53.011582   -27.271640  22.7318     7.683       4.119e-06   0.000e+00   1.000e+00   2.971e-03   2.140e-03   5.718e-06   0.000       0           
7            53.009634   -27.270768  0.0000      702468      53.009470   -27.270028  25.0426     2.727       1.550e-02   0.000e+00   1.000e+00   2.241e-05   6.253e-03   5.556e-05   0.000       0           
7            53.009634   -27.270768  0.0000      702535      53.010703   -27.269524  23.5615     5.902       1.956e-04   0.000e+00   1.000e+00   6.543e-04   3.578e-03   3.577e-05   0.000       0           
27           53.196088   -27.176580  0.0000      176191      53.195042   -27.174710  28.0673     7.713       3.828e-06   0.000e+00   1.000e+00   1.377e-09   3.488e-03   1.512e-12   0.000       0           
27           53.196088   -27.176580  0.0000      176206      53.196271   -27.176730  18.6781     0.852       4.525e-02   0.000e+00   1.000e+00   1.526e-01   1.038e-04   6.649e+01   0.983       1           
27           53.196088   -27.176580  0.0000      176207      53.195561   -27.176008  25.5395     2.801       1.453e-02   0.000e+00   1.000e+00   5.916e-06   6.706e-03   1.282e-05   0.000       0           
27           53.196088   -27.176580  0.0000      176208      53.196696   -27.175194  25.1464     5.450       4.440e-04   0.000e+00   1.000e+00   1.711e-05   6.377e-03   1.191e-06   0.000       0           
27           53.196088   -27.176580  0.0000      176209      53.197282   -27.174766  26.6489     7.818       2.947e-06   0.000e+00   1.000e+00   2.091e-07   6.224e-03   9.903e-11   0.000       0           
27           53.196088   -27.176580  0.0000      176210      53.194784   -27.176301  19.6372     4.801       1.282e-03   0.000e+00   1.000e+00   9.753e-02   2.011e-04   6.217e-01   0.009       0           
36           52.862168   -28.302076  0.0000      585616      52.864167   -28.302382  22.9921     7.280       1.077e-05   0.000e+00   1.000e+00   1.901e-03   2.548e-03   8.037e-06   0.000       0           
36           52.862168   -28.302076  0.0000      585617      52.862462   -28.303084  19.4805     3.778       5.206e-03   0.000e+00   1.000e+00   1.071e-01   1.802e-04   3.092e+00   0.856       1           
36           52.862168   -28.302076  0.0000      585618      52.863582   -28.300796  23.3970     6.868       2.732e-05   0.000e+00   1.000e+00   9.020e-04   3.264e-03   7.550e-06   0.000       0           
59           52.209376   -27.202160  0.0000      543557      52.207206   -27.202310  30.6127     7.832       2.847e-06   0.000e+00   1.000e+00   1.994e-14   3.328e-04   1.705e-16   0.000       0           
59           52.209376   -27.202160  0.0000      543595      52.209589   -27.202812  22.0257     2.470       1.919e-02   0.000e+00   1.000e+00   8.793e-03   1.271e-03   1.328e-01   0.005       0           
59           52.209376   -27.202160  0.0000      543597      52.209252   -27.202184  19.4929     0.455       4.915e-02   0.000e+00   1.000e+00   1.063e-01   1.818e-04   2.874e+01   0.976       1           
