#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
1            52.899178   -27.859588  0.0000      458823      52.899085   -27.859724  22.4476     0.593       1.309e-01   0.000e+00   1.000e+00   1.398e-01   8.682e-04   2.109e+01   0.988       1           
2            52.911023   -27.892965  0.0000      456376      52.911016   -27.893012  23.5542     0.169       2.154e+00   0.000e+00   1.000e+00   1.706e-01   1.832e-03   2.006e+02   0.999       1           
3            52.917119   -27.796253  0.0000      432522      52.917198   -27.796321  22.3965     0.373       8.257e-01   0.000e+00   1.000e+00   1.379e-01   8.347e-04   1.364e+02   0.998       1           
4            52.919726   -27.773984  0.0000      434176      52.919639   -27.773924  26.1209     0.381       7.847e-01   0.000e+00   1.000e+00   1.298e-01   3.831e-03   2.658e+01   0.990       1           
5            52.920710   -27.743110  0.0000      436873      52.920718   -27.743131  25.0435     0.082       2.607e+00   0.000e+00   1.000e+00   1.629e-01   3.399e-03   1.250e+02   0.998       1           
6            52.930145   -27.901341  0.0000      455747      52.930106   -27.901543  25.5950     0.741       2.348e-02   0.000e+00   1.000e+00   1.479e-01   3.749e-03   9.258e-01   0.777       1           
10           52.937251   -27.860624  0.0000      458710      52.937148   -27.860634  27.1852     0.373       8.255e-01   0.000e+00   1.000e+00   8.788e-02   3.189e-03   2.275e+01   0.988       1           
11           52.937355   -27.761025  0.0000      435359      52.937483   -27.761210  23.4918     0.810       9.327e-03   0.000e+00   1.000e+00   1.697e-01   1.766e-03   8.959e-01   0.771       1           
12           52.938022   -27.830329  0.0000      449187      52.938188   -27.830538  23.9885     0.961       9.086e-04   0.000e+00   1.000e+00   1.744e-01   2.305e-03   6.873e-02   0.205       1           
13           52.938318   -27.909828  0.0000      455155      52.938379   -27.909941  21.3194     0.462       4.321e-01   0.000e+00   1.000e+00   9.279e-02   3.383e-04   1.185e+02   0.998       1           
14           52.939571   -27.858210  0.0000      458923      52.939382   -27.858412  24.5371     0.995       5.145e-04   0.000e+00   1.000e+00   1.718e-01   2.911e-03   3.036e-02   0.102       1           
16           52.944249   -27.764469  0.0000      435037      52.944246   -27.764724  25.5591     0.917       1.877e-03   0.000e+00   1.000e+00   1.490e-01   3.734e-03   7.489e-02   0.219       1           
18           52.946938   -27.920189  0.0000      454344      52.947001   -27.920377  24.2577     0.713       3.353e-02   0.000e+00   1.000e+00   1.741e-01   2.606e-03   2.240e+00   0.894       1           
19           52.946991   -27.887011  0.0000      456776      52.947014   -27.887149  25.1007     0.502       3.096e-01   0.000e+00   1.000e+00   1.616e-01   3.445e-03   1.452e+01   0.982       1           
20           52.948756   -27.808147  0.0000      428173      52.948852   -27.808197  24.0754     0.390       7.374e-01   0.000e+00   1.000e+00   1.745e-01   2.403e-03   5.356e+01   0.995       1           
21           52.949870   -27.845926  0.0000      448005      52.949881   -27.845984  24.2111     0.212       1.869e+00   0.000e+00   1.000e+00   1.743e-01   2.554e-03   1.275e+02   0.998       1           
22           52.950123   -27.800417  0.0000      432220      52.950207   -27.800558  24.7503     0.593       1.307e-01   0.000e+00   1.000e+00   1.687e-01   3.130e-03   7.044e+00   0.964       1           
23           52.950392   -27.875637  0.0000      457594      52.950514   -27.875659  25.5663     0.445       4.944e-01   0.000e+00   1.000e+00   1.488e-01   3.737e-03   1.968e+01   0.987       1           
24           52.952351   -27.787243  0.0000      433139      52.952545   -27.787334  25.8848     0.771       1.596e-02   0.000e+00   1.000e+00   1.382e-01   3.828e-03   5.764e-01   0.684       1           
26           52.955757   -27.776111  0.0000      434056      52.955884   -27.776230  22.5999     0.627       9.121e-02   0.000e+00   1.000e+00   1.455e-01   9.740e-04   1.362e+01   0.981       1           
27           52.956130   -27.842692  0.0000      448232      52.956203   -27.842761  25.5056     0.363       8.792e-01   0.000e+00   1.000e+00   1.506e-01   3.709e-03   3.570e+01   0.993       1           
28           52.956351   -27.721986  0.0000      438763      52.956423   -27.722142  22.3810     0.618       1.004e-01   0.000e+00   1.000e+00   1.373e-01   8.248e-04   1.671e+01   0.984       1           
30           52.957851   -27.810253  0.0000      427847      52.957877   -27.810112  19.8575     0.515       2.758e-01   0.000e+00   1.000e+00   4.256e-02   9.137e-05   1.285e+02   0.998       1           
31           52.959955   -27.864329  0.0000      458418      52.960041   -27.864413  26.7449     0.432       5.462e-01   0.000e+00   1.000e+00   1.056e-01   3.573e-03   1.614e+01   0.984       1           
32           52.959980   -27.869995  0.0000      458013      52.960072   -27.870068  24.3286     0.425       5.772e-01   0.000e+00   1.000e+00   1.737e-01   2.685e-03   3.734e+01   0.993       1           
33           52.960131   -27.845076  0.0000      448087      52.960143   -27.845072  25.5242     0.046       2.713e+00   0.000e+00   1.000e+00   1.501e-01   3.718e-03   1.095e+02   0.998       1           
34           52.960285   -27.876851  0.0000      457533      52.960268   -27.876655  25.9568     0.707       3.608e-02   0.000e+00   1.000e+00   1.357e-01   3.835e-03   1.277e+00   0.827       1           
36           52.961563   -27.784276  0.0000      433347      52.961585   -27.784377  23.6141     0.372       8.337e-01   0.000e+00   1.000e+00   1.715e-01   1.895e-03   7.544e+01   0.996       1           
37           52.962412   -27.687808  0.0000      428774      52.962331   -27.687828  22.1141     0.300       1.267e+00   0.000e+00   1.000e+00   1.265e-01   6.672e-04   2.402e+02   0.999       1           
38           52.962871   -27.743553  0.0000      436840      52.962920   -27.743754  24.0008     0.745       2.247e-02   0.000e+00   1.000e+00   1.744e-01   2.319e-03   1.690e+00   0.864       1           
39           52.963217   -27.847562  0.0000      447914      52.963173   -27.847710  24.6632     0.556       1.885e-01   0.000e+00   1.000e+00   1.701e-01   3.042e-03   1.054e+01   0.975       1           
42           52.966330   -27.890785  0.0000      456540      52.966416   -27.890896  24.9101     0.508       2.949e-01   0.000e+00   1.000e+00   1.658e-01   3.282e-03   1.490e+01   0.982       1           
44           52.967355   -27.804338  0.0000      431164      52.967377   -27.804486  24.0885     0.539       2.215e-01   0.000e+00   1.000e+00   1.745e-01   2.417e-03   1.599e+01   0.984       1           
45           52.967626   -27.696263  0.0000      427922      52.967631   -27.696272  24.0085     0.037       2.730e+00   0.000e+00   1.000e+00   1.744e-01   2.328e-03   2.046e+02   0.999       1           
46           52.967895   -27.915837  0.0000      454702      52.967735   -27.915750  24.3850     0.654       6.715e-02   0.000e+00   1.000e+00   1.733e-01   2.747e-03   4.236e+00   0.941       1           
47           52.967920   -27.797937  0.0000      432398      52.967987   -27.797985  25.4575     0.297       1.286e+00   0.000e+00   1.000e+00   1.521e-01   3.685e-03   5.308e+01   0.995       1           
49           52.968635   -27.838151  0.0000      448695      52.968769   -27.838246  24.9225     0.590       1.340e-01   0.000e+00   1.000e+00   1.655e-01   3.293e-03   6.734e+00   0.962       1           
50           52.968840   -27.778324  0.0000      433862      52.968895   -27.778475  22.5941     0.579       1.500e-01   0.000e+00   1.000e+00   1.453e-01   9.698e-04   2.247e+01   0.988       1           
51           52.972981   -27.811950  0.0000      437850      52.973082   -27.811999  24.0302     0.402       6.786e-01   0.000e+00   1.000e+00   1.745e-01   2.352e-03   5.034e+01   0.995       1           
58           52.977044   -27.851425  0.0000      447605      52.977032   -27.851566  24.4308     0.511       2.860e-01   0.000e+00   1.000e+00   1.729e-01   2.797e-03   1.768e+01   0.985       1           
59           52.977064   -27.761078  0.0000      435392      52.977289   -27.761202  23.1427     0.923       1.687e-03   0.000e+00   1.000e+00   1.624e-01   1.423e-03   1.925e-01   0.420       1           
60           52.978834   -27.735934  0.0000      437558      52.978978   -27.735741  24.8254     0.868       4.019e-03   0.000e+00   1.000e+00   1.674e-01   3.203e-03   2.101e-01   0.441       1           
61           52.979687   -27.841106  0.0000      448371      52.979671   -27.841302  25.2658     0.707       3.613e-02   0.000e+00   1.000e+00   1.574e-01   3.568e-03   1.594e+00   0.857       1           
62           52.980485   -27.776442  0.0000      433995      52.980337   -27.776444  24.3582     0.531       2.385e-01   0.000e+00   1.000e+00   1.735e-01   2.718e-03   1.522e+01   0.983       1           
63           52.980677   -27.913371  0.0000      454894      52.980736   -27.913420  21.7919     0.276       1.424e+00   0.000e+00   1.000e+00   1.128e-01   5.104e-04   3.149e+02   0.999       1           
64           52.981659   -27.845488  0.0000      448113      52.981713   -27.845577  21.5347     0.376       8.123e-01   0.000e+00   1.000e+00   1.018e-01   4.090e-04   2.023e+02   0.999       1           
67           52.982517   -27.822496  0.0000      449856      52.982611   -27.822638  25.3584     0.613       1.059e-01   0.000e+00   1.000e+00   1.549e-01   3.628e-03   4.521e+00   0.944       1           
69           52.984622   -27.783408  0.0000      433558      52.984597   -27.783466  26.1313     0.227       1.765e+00   0.000e+00   1.000e+00   1.294e-01   3.830e-03   5.963e+01   0.996       1           
70           52.984836   -27.858715  0.0000      458935      52.984866   -27.858793  22.1469     0.302       1.251e+00   0.000e+00   1.000e+00   1.278e-01   6.851e-04   2.334e+02   0.999       1           
71           52.984961   -27.735114  0.0000      437608      52.985048   -27.735196  26.2651     0.430       5.551e-01   0.000e+00   1.000e+00   1.244e-01   3.805e-03   1.814e+01   0.986       1           
73           52.987747   -27.852295  0.0000      447499      52.987693   -27.852423  26.7649     0.501       3.129e-01   0.000e+00   1.000e+00   1.048e-01   3.559e-03   9.214e+00   0.972       1           
75           52.989418   -27.714606  0.0000      439394      52.989383   -27.714581  25.5279     0.155       2.241e+00   0.000e+00   1.000e+00   1.499e-01   3.720e-03   9.035e+01   0.997       1           
78           52.991502   -27.792961  0.0000      432728      52.991395   -27.792987  27.7863     0.397       7.021e-01   0.000e+00   1.000e+00   6.458e-02   2.500e-03   1.814e+01   0.986       1           
79           52.992092   -27.809391  0.0000      440271      52.992105   -27.809497  23.3231     0.385       7.617e-01   0.000e+00   1.000e+00   1.665e-01   1.596e-03   7.948e+01   0.997       1           
80           52.992171   -27.749747  0.0000      436368      52.992277   -27.749897  23.3035     0.662       6.134e-02   0.000e+00   1.000e+00   1.661e-01   1.577e-03   6.463e+00   0.960       1           
