#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
0            52.899178   -27.859588  0.0000      458725      52.899829   -27.860406  0.0572      3.765       1.017e-53   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.461e-51   0.000       0           
0            52.899178   -27.859588  0.0000      458822      52.899085   -27.859726  1.6110      0.600       1.213e-01   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.743e+01   0.998       1           
0            52.899178   -27.859588  0.0000      458955      52.899275   -27.858235  0.0611      4.883       3.663e-90   0.000e+00   1.000e+00   3.487e-01   2.427e-03   5.264e-88   0.000       0           
0            52.899178   -27.859588  0.0000      458957      52.899675   -27.858643  0.4009      3.842       6.103e-56   0.000e+00   1.000e+00   3.487e-01   2.427e-03   8.769e-54   0.000       0           
1            52.911023   -27.892965  0.0000      456375      52.911016   -27.892986  1.0902      0.079       2.617e+00   0.000e+00   1.000e+00   3.487e-01   2.427e-03   3.761e+02   1.000       1           
1            52.911023   -27.892965  0.0000      456444      52.911156   -27.891864  0.1628      3.991       2.551e-60   0.000e+00   1.000e+00   3.487e-01   2.427e-03   3.666e-58   0.000       0           
2            52.917119   -27.796253  0.0000      432520      52.916637   -27.796247  0.5168      1.736       1.216e-11   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.748e-09   0.000       0           
2            52.917119   -27.796253  0.0000      432521      52.917198   -27.796322  3.5465      0.376       8.122e-01   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.167e+02   1.000       1           
2            52.917119   -27.796253  0.0000      432522      52.917377   -27.796995  0.9438      2.829       1.864e-30   0.000e+00   1.000e+00   3.487e-01   2.427e-03   2.679e-28   0.000       0           
3            52.919726   -27.773984  0.0000      434094      52.920542   -27.774935  0.0320      4.510       5.951e-77   0.000e+00   1.000e+00   3.487e-01   2.427e-03   8.551e-75   0.000       0           
3            52.919726   -27.773984  0.0000      434104      52.918647   -27.774826  0.0790      4.926       9.267e-92   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.332e-89   0.000       0           
3            52.919726   -27.773984  0.0000      434157      52.920269   -27.773898  0.0447      1.978       4.930e-15   0.000e+00   1.000e+00   3.487e-01   2.427e-03   7.084e-13   0.000       0           
