#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
151290       53.009634   -27.270768  0.0000      702388      53.008852   -27.270497  0.0652      2.979       9.037e-03   0.000e+00   1.000e+00   3.020e-01   9.869e-03   2.765e-01   0.329       0           
151290       53.009634   -27.270768  0.0000      702458      53.010236   -27.271827  200.2298    4.387       7.407e-04   0.000e+00   1.000e+00   3.021e-01   9.869e-03   2.267e-02   0.027       0           
151290       53.009634   -27.270768  0.0000      702467      53.009470   -27.270024  0.1880      2.740       1.256e-02   0.000e+00   1.000e+00   3.020e-01   9.869e-03   3.844e-01   0.457       1           
151303       53.196088   -27.176580  0.0000      176205      53.196271   -27.176731  36.0398     0.854       6.436e-02   0.000e+00   1.000e+00   3.020e-01   9.869e-03   1.970e+00   0.802       1           
151303       53.196088   -27.176580  0.0000      176206      53.195561   -27.175980  -0.2791     2.877       1.043e-02   0.000e+00   1.000e+00   3.020e-01   9.869e-03   3.191e-01   0.130       0           
151303       53.196088   -27.176580  0.0000      176209      53.194784   -27.176354  46.8966     4.766       3.212e-04   0.000e+00   1.000e+00   3.020e-01   9.869e-03   9.829e-03   0.004       0           
151310       52.862168   -28.302076  0.0000      585616      52.862462   -28.303094  20.7458     3.817       2.289e-03   0.000e+00   1.000e+00   3.020e-01   9.869e-03   7.003e-02   0.309       1           
151328       52.209376   -27.202160  0.0000      543594      52.209589   -27.202798  4.0497      2.420       1.871e-02   0.000e+00   1.000e+00   3.020e-01   9.869e-03   5.725e-01   0.144       0           
151328       52.209376   -27.202160  0.0000      543596      52.209252   -27.202185  84.6650     0.456       7.300e-02   0.000e+00   1.000e+00   3.021e-01   9.869e-03   2.234e+00   0.563       1           
151328       52.209376   -27.202160  0.0000      543597      52.209771   -27.201810  8.1140      1.899       3.217e-02   0.000e+00   1.000e+00   3.020e-01   9.869e-03   9.844e-01   0.248       0           
151328       52.209376   -27.202160  0.0000      543599      52.208186   -27.201758  0.1512      4.524       5.518e-04   0.000e+00   1.000e+00   3.020e-01   9.869e-03   1.689e-02   0.004       0           
151329       53.080047   -27.493224  0.0000      548787      53.079123   -27.493552  0.0505      3.531       3.797e-03   0.000e+00   1.000e+00   3.020e-01   9.869e-03   1.162e-01   0.257       0           
151329       53.080047   -27.493224  0.0000      548890      53.078771   -27.493120  0.0509      4.609       4.572e-04   0.000e+00   1.000e+00   3.020e-01   9.869e-03   1.399e-02   0.031       0           
151329       53.080047   -27.493224  0.0000      549262      53.080099   -27.492295  0.4509      3.350       5.124e-03   0.000e+00   1.000e+00   3.020e-01   9.869e-03   1.568e-01   0.347       1           
151329       53.080047   -27.493224  0.0000      549263      53.079513   -27.491986  0.3218      4.854       2.617e-04   0.000e+00   1.000e+00   3.020e-01   9.869e-03   8.007e-03   0.018       0           
